dataset,model,method,val_mean_iou,val_pool_iou,val_mean_f1,test_mean_iou,test_pool_iou,test_mean_f1
urb3dcd_v2_ms,siamese_kpconv,otsu_cube,0.2643,0.2645,0.4177,0.2456,0.2473,0.3904
urb3dcd_v2_ms,siamese_pointnet,fixed_05,0.1907,0.1906,0.3199,0.1755,0.175,0.2953
urb3dcd_v2_ms,siamese_pointnet,f1_optimal,0.1958,0.1957,0.3271,0.1805,0.1799,0.3028
urb3dcd_v2_ms,siamese_pointnet,temperature_scaling,0.1926,0.1926,0.3229,0.1797,0.1792,0.3012
urb3dcd_v2_ms,siamese_pointnet,platt,0.0,0.0,0.0,0.0154,0.0139,0.0296
urb3dcd_v2_ms,siamese_pointnet,isotonic,0.102,0.0928,0.17,0.1378,0.1366,0.2411
urb3dcd_v2_ms,siamese_pointnet,quantile_shrink,0.1958,0.1957,0.3271,0.1805,0.1799,0.3028
urb3dcd_v2_ms,siamese_pointnet,otsu_cube,0.2031,0.2024,0.337,0.1791,0.1791,0.3017
urb3dcd_v2_ms,siamese_pointnet2,fixed_05,0.564,0.5628,0.7212,0.5076,0.5062,0.6734
urb3dcd_v2_ms,siamese_pointnet2,f1_optimal,0.5698,0.5695,0.7259,0.5161,0.5175,0.6808
urb3dcd_v2_ms,siamese_pointnet2,temperature_scaling,0.5698,0.5691,0.7259,0.5156,0.5163,0.6804
urb3dcd_v2_ms,siamese_pointnet2,platt,0.5576,0.556,0.7159,0.5003,0.4977,0.6669
urb3dcd_v2_ms,siamese_pointnet2,isotonic,0.5539,0.5521,0.7127,0.496,0.4929,0.663
urb3dcd_v2_ms,siamese_pointnet2,quantile_shrink,0.57,0.5697,0.7261,0.5164,0.5178,0.6811
urb3dcd_v2_ms,siamese_pointnet2,otsu_cube,0.5685,0.5678,0.7248,0.5101,0.5108,0.6756
urb3dcd_v2_ms,siamgcn,fixed_05,0.3224,0.3171,0.4848,0.2623,0.2649,0.4145
urb3dcd_v2_ms,siamgcn,f1_optimal,0.325,0.3206,0.4887,0.2551,0.2576,0.4051
urb3dcd_v2_ms,siamgcn,temperature_scaling,0.325,0.3206,0.4886,0.2554,0.2579,0.4055
urb3dcd_v2_ms,siamgcn,platt,0.2374,0.2276,0.3723,0.2411,0.2401,0.3877
urb3dcd_v2_ms,siamgcn,isotonic,0.2598,0.2508,0.4035,0.2539,0.2542,0.4045
urb3dcd_v2_ms,siamgcn,quantile_shrink,0.3263,0.322,0.4899,0.2734,0.276,0.4284
urb3dcd_v2_ms,siamgcn,otsu_cube,0.3126,0.309,0.4747,0.2607,0.2632,0.4125
hkcd,icp_euclidean,fixed_05,0.403,0.403,0.5745,0.1889,0.1978,0.3161
hkcd,icp_euclidean,f1_optimal,0.5993,0.5993,0.7494,0.426,0.4573,0.5884
hkcd,icp_euclidean,temperature_scaling,0.6257,0.6257,0.7698,0.4844,0.5395,0.6354
hkcd,icp_euclidean,platt,0.6186,0.6186,0.7644,0.4693,0.5377,0.6146
hkcd,icp_euclidean,isotonic,0.6194,0.6194,0.7649,0.4706,0.5383,0.6161
hkcd,icp_euclidean,quantile_shrink,0.6261,0.6261,0.7701,0.4804,0.536,0.6316
hkcd,icp_euclidean,otsu_cube,0.4457,0.4457,0.6166,0.2188,0.2297,0.3571
hkcd,randla,fixed_05,0.6506,0.6506,0.7883,0.4652,0.5149,0.6103
hkcd,randla,f1_optimal,0.6522,0.6522,0.7895,0.4708,0.5249,0.6152
hkcd,randla,temperature_scaling,0.6523,0.6523,0.7895,0.4724,0.5277,0.6168
hkcd,randla,platt,0.6375,0.6375,0.7786,0.475,0.5433,0.6186
hkcd,randla,isotonic,0.6427,0.6427,0.7825,0.4765,0.5423,0.6201
hkcd,randla,quantile_shrink,0.6522,0.6522,0.7895,0.4708,0.5248,0.6153
hkcd,randla,otsu_cube,0.5503,0.5503,0.7099,0.3535,0.3787,0.5095
hkcd,siamese_kpconv,fixed_05,0.1933,0.1933,0.324,0.1301,0.1399,0.2281
hkcd,siamese_kpconv,f1_optimal,0.2255,0.2255,0.368,0.1269,0.138,0.2234
hkcd,siamese_kpconv,temperature_scaling,0.2815,0.2815,0.4393,0.1094,0.1156,0.1967
hkcd,siamese_kpconv,platt,0.0017,0.0017,0.0033,0.0586,0.0383,0.1051
hkcd,siamese_kpconv,isotonic,0.0,0.0,0.0,0.0,0.0,0.0
hkcd,siamese_kpconv,quantile_shrink,0.28,0.28,0.4375,0.1069,0.1127,0.1927
hkcd,siamese_kpconv,otsu_cube,0.2003,0.2003,0.3337,0.1277,0.1364,0.2249
hkcd,siamese_pointnet,fixed_05,0.5727,0.5727,0.7283,0.3461,0.3333,0.47
hkcd,siamese_pointnet,f1_optimal,0.5727,0.5727,0.7283,0.3461,0.3333,0.47
hkcd,siamese_pointnet,temperature_scaling,0.5727,0.5727,0.7283,0.3461,0.3333,0.47
hkcd,siamese_pointnet,platt,0.5312,0.5312,0.6939,0.3351,0.3981,0.4538
hkcd,siamese_pointnet,isotonic,0.5646,0.5646,0.7218,0.3491,0.3695,0.4733
