model,scene,split,n,change_ratio,auc,f1_at_0.5,best_global_f1,best_global_tau,percube_oracle_pooled,percube_oracle_meancube
siamese_pointnet2,009-2,test,61508,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,009-3,test,56768,0.0042,0.9972,0.0714,0.6618,0.84,0.6716,0.6716
siamese_pointnet2,009-4,test,75073,0.004,0.8196,0.0356,0.0356,0.5,0.0741,0.0703
siamese_pointnet2,009-5,test,59424,0.0088,0.9504,0.0837,0.5102,0.9,0.325,0.3147
siamese_pointnet2,014-2,val,49660,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,014-3,val,57898,0.0026,0.9452,0.0267,0.2299,0.76,0.2677,0.2677
siamese_pointnet2,014-4,val,58069,0.0082,0.8737,0.1826,0.5636,0.74,0.6683,0.6683
siamese_pointnet2,014-5,val,56295,0.011,0.9085,0.1963,0.4991,0.9,0.3738,0.3354
siamese_pointnet2,017-2,test,101198,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,017-3,test,99171,0.027,0.9106,0.2146,0.2504,0.42,0.4512,0.3118
siamese_pointnet2,017-4,test,89170,0.0018,0.9957,0.0585,0.3502,0.82,0.4457,0.4457
siamese_pointnet2,017-5,test,98218,0.0036,0.9687,0.0615,0.2231,0.86,0.0716,0.19
siamese_pointnet2,018-2,test,198639,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,018-3,test,202230,0.021,0.3652,0.0035,0.0146,0.02,0.1027,0.0617
siamese_pointnet2,018-4,test,242224,0.0017,0.5681,0.0,0.0061,0.02,0.1617,0.1617
siamese_pointnet2,018-5,test,237330,0.0074,0.3433,0.0,0.0013,0.02,0.017,0.0116
siamese_pointnet2,019-2,test,64889,0.0053,0.9787,0.0865,0.2633,0.8,0.2732,0.2732
siamese_pointnet2,019-3,test,63654,0.0168,0.8388,0.0579,0.1283,0.36,0.3478,0.3478
siamese_pointnet2,019-4,test,63780,0.0034,0.86,0.0337,0.0423,0.68,0.0441,0.0232
siamese_pointnet2,019-5,test,72113,0.0163,0.9083,0.1848,0.2026,0.46,0.4534,0.2962
siamese_pointnet2,020-2,val,135408,0.004,0.6802,0.0009,0.0156,0.06,0.0261,0.0271
siamese_pointnet2,020-3,val,132798,0.0356,0.896,0.2464,0.3892,0.78,0.4323,0.3899
siamese_pointnet2,020-4,val,150140,0.0585,0.853,0.3387,0.3546,0.46,0.45,0.4006
siamese_pointnet2,023-2,test,208496,0.0051,0.898,0.0513,0.0952,0.92,0.1381,0.2133
siamese_pointnet2,023-3,test,238419,0.0172,0.9038,0.1893,0.19,0.52,0.3466,0.3778
siamese_pointnet2,023-4,test,247383,0.0188,0.9015,0.1903,0.1963,0.56,0.7012,0.7012
siamese_pointnet2,023-5,test,266160,0.0445,0.9372,0.394,0.417,0.64,0.6299,0.4114
siamese_pointnet2,026-2,test,85235,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,026-3,test,72327,0.0021,0.9763,0.0335,0.1377,0.7,0.2243,0.2243
siamese_pointnet2,026-4,test,77469,0.0065,0.9673,0.1217,0.2344,0.74,0.2213,0.1334
siamese_pointnet2,026-5,test,82172,0.0038,0.9577,0.0476,0.0971,0.68,0.1436,0.1436
siamese_pointnet2,027-2,test,93230,0.0168,0.6899,0.0,0.0741,0.04,0.0599,0.2977
siamese_pointnet2,027-3,test,90437,0.0113,0.9929,0.183,0.6373,0.86,0.6373,0.6373
siamese_pointnet2,027-4,test,100904,0.0061,0.9833,0.2094,0.5597,0.8,0.5597,0.5597
siamese_pointnet2,035-2,test,74934,0.01,0.9874,0.1991,0.5287,0.86,0.5287,0.5287
siamese_pointnet2,035-3,test,102558,0.0718,0.9589,0.5645,0.6158,0.72,0.7776,0.8295
siamese_pointnet2,035-4,test,98422,0.0146,0.9047,0.2221,0.4843,0.88,0.3364,0.3617
siamese_pointnet2,035-5,test,103171,0.0694,0.9523,0.5583,0.5873,0.64,0.5292,0.4273
siamese_pointnet2,036-2,test,167802,0.0055,0.9862,0.2867,0.3291,0.66,0.3053,0.3689
siamese_pointnet2,036-3,test,147814,0.007,0.9997,0.2851,0.9148,0.98,0.9148,0.9148
siamese_pointnet2,036-4,test,151218,0.0304,0.9643,0.5411,0.6382,0.6,0.6165,0.7715
siamese_pointnet2,036-5,test,155858,0.0339,0.9481,0.4182,0.4386,0.44,0.6611,0.7399
siamese_pointnet2,039-2,test,154177,0.0061,0.9607,0.1228,0.2794,0.7,0.3827,0.3827
siamese_pointnet2,039-5,test,164569,0.0731,0.9587,0.5686,0.6795,0.8,0.6539,0.6014
siamese_pointnet2,040-3,test,282613,0.0141,0.981,0.3161,0.5229,0.82,0.585,0.4359
siamese_pointnet2,040-4,test,277978,0.0572,0.8808,0.3084,0.3338,0.66,0.4731,0.5248
siamese_pointnet2,040-5,test,269900,0.0684,0.9385,0.541,0.6184,0.72,0.4811,0.5802
siamese_pointnet2,041-2,test,56643,0.0204,0.911,0.0069,0.2369,0.16,0.2478,0.2478
siamese_pointnet2,041-3,test,61573,0.0436,0.995,0.562,0.8728,0.76,0.8728,0.8728
siamese_pointnet2,041-4,test,57601,0.0264,0.9833,0.579,0.5846,0.54,0.5929,0.5929
siamese_pointnet2,041-5,test,62375,0.094,0.9593,0.6427,0.6728,0.64,0.6728,0.6728
siamese_pointnet2,045-2,val,71612,0.0018,0.8174,0.0,0.0154,0.04,0.042,0.042
siamese_pointnet2,045-3,val,73736,0.0009,0.8858,0.0,0.01,0.14,0.0167,0.0167
siamese_pointnet2,045-4,val,78322,0.101,0.9333,0.5796,0.6555,0.78,0.474,0.3546
siamese_pointnet2,046-2,test,77971,0.0014,0.8891,0.0,0.0186,0.18,0.0208,0.0356
siamese_pointnet2,046-3,test,78579,0.0107,0.9892,0.3108,0.5298,0.88,0.5298,0.5298
siamese_pointnet2,046-4,test,71061,0.0019,0.9237,0.0328,0.0334,0.52,0.0817,0.0817
siamese_pointnet2,046-5,test,67519,0.0184,0.9636,0.3565,0.3889,0.72,0.2845,0.2106
siamese_pointnet2,047-2,val,96643,0.0033,0.6651,0.0,0.0168,0.02,0.0579,0.0579
siamese_pointnet2,047-3,val,115977,0.0008,0.9991,0.0792,0.5141,0.82,0.6244,0.6244
siamese_pointnet2,047-5,val,123115,0.0096,0.9073,0.1032,0.1113,0.4,0.1223,0.3188
siamese_pointnet2,048-2,val,210820,0.0019,0.7771,0.0097,0.0101,0.44,0.0204,0.04
siamese_pointnet2,048-3,val,218959,0.0028,0.65,0.0043,0.0114,0.2,0.0701,0.1664
siamese_pointnet2,048-4,val,230039,0.0031,0.7554,0.0119,0.015,0.36,0.1004,0.1768
siamese_pointnet2,048-5,val,226799,0.005,0.8188,0.0305,0.0438,0.7,0.0615,0.1338
siamese_pointnet2,049-2,test,148058,0.003,0.9708,0.1229,0.1573,0.46,0.174,0.2062
siamese_pointnet2,049-5,test,162691,0.0055,0.9958,0.2296,0.7787,0.98,0.7787,0.7787
siamese_pointnet2,053-2,test,304383,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,053-3,test,312314,0.0148,0.973,0.2367,0.4829,0.76,0.5913,0.5913
siamese_pointnet2,053-4,test,299755,0.028,0.9334,0.3078,0.3965,0.84,0.5776,0.5105
siamese_pointnet2,053-5,test,301047,0.0318,0.9762,0.331,0.5929,0.84,0.6615,0.6497
siamese_pointnet2,055-2,test,92714,0.0041,0.9137,0.0534,0.0637,0.58,0.0647,0.0647
siamese_pointnet2,055-4,test,85113,0.0049,0.8989,0.057,0.0749,0.62,0.0638,0.0494
siamese_pointnet2,055-5,test,87859,0.0093,0.8982,0.1242,0.1451,0.54,0.0981,0.0999
siamese_pointnet2,059-3,val,127538,0.0045,0.9168,0.0297,0.0669,0.38,0.1073,0.1073
siamese_pointnet2,064-2,val,101898,0.0018,0.7969,0.0,0.0123,0.02,0.0465,0.0465
siamese_pointnet2,064-3,val,95651,0.0291,0.9922,0.4933,0.8359,0.9,0.8369,0.8369
siamese_pointnet2,064-4,val,92139,0.0069,0.9397,0.2708,0.6957,0.92,0.1104,0.4224
siamese_pointnet2,064-5,val,111671,0.033,0.9737,0.3395,0.6289,0.98,0.6674,0.5774
siamese_pointnet2,065-2,test,54020,0.0004,0.7396,0.0,0.0024,0.14,0.0024,0.0024
siamese_pointnet2,065-3,test,58220,0.0078,0.982,0.2582,0.3284,0.54,0.3284,0.3284
siamese_pointnet2,065-4,test,56762,0.0011,0.6579,0.0,0.0057,0.1,0.0058,0.0058
siamese_pointnet2,065-5,test,56343,0.0086,0.9518,0.0916,0.1814,0.4,0.1814,0.1814
siamese_pointnet2,067-2,test,160533,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,067-4,test,169239,0.0191,0.9294,0.1897,0.4249,0.94,0.0936,0.2366
siamese_pointnet2,067-5,test,194913,0.0163,0.9809,0.2017,0.5988,0.92,0.7123,0.7659
siamese_pointnet2,068-2,val,105643,0.0028,0.9657,0.0,0.1299,0.22,0.1996,0.1996
siamese_pointnet2,068-3,val,111731,0.0005,0.9777,0.0171,0.0303,0.28,0.0763,0.0763
siamese_pointnet2,068-4,val,114099,0.0033,0.817,0.0362,0.0849,0.34,0.0059,0.0834
siamese_pointnet2,068-5,val,118999,0.0057,0.7884,0.0838,0.1339,0.16,0.0418,0.0919
siamese_pointnet2,071-2,test,316378,0.0091,0.9636,0.1939,0.4348,0.8,0.1629,0.2467
siamese_pointnet2,071-3,test,324895,0.0015,0.9925,0.0269,0.6449,0.98,0.0626,0.3363
siamese_pointnet2,071-4,test,310519,0.047,0.9298,0.4232,0.4783,0.68,0.6995,0.643
siamese_pointnet2,071-5,test,319535,0.0437,0.9187,0.3605,0.4346,0.74,0.6167,0.625
siamese_pointnet2,076-2,val,73647,0.0093,0.9192,0.098,0.2267,0.76,0.742,0.742
siamese_pointnet2,076-3,val,73100,0.0074,0.9815,0.1064,0.5068,0.92,0.5068,0.5068
siamese_pointnet2,076-5,val,100023,0.0203,0.9216,0.1541,0.6165,0.9,0.7539,0.7426
siamese_pointnet2,083-2,val,123545,0.0,0.9329,0.0012,0.0012,0.5,0.0069,0.0069
siamese_pointnet2,083-3,val,136060,0.0159,0.9693,0.1669,0.5407,0.88,0.5602,0.5377
siamese_pointnet2,083-4,val,121555,0.0088,0.9361,0.0824,0.3676,0.96,0.4179,0.4218
siamese_pointnet2,083-5,val,119507,0.0244,0.9723,0.2593,0.5553,0.88,0.6406,0.5829
siamese_pointnet2,085-2,test,93259,0.0028,0.955,0.0533,0.0753,0.78,0.0965,0.1408
siamese_pointnet2,085-3,test,100300,0.0201,0.9886,0.2863,0.7101,0.96,0.7101,0.7101
siamese_pointnet2,085-4,test,104322,0.3033,0.9477,0.7305,0.8002,0.08,0.8154,0.8078
siamese_pointnet2,085-5,test,117449,0.2596,0.9127,0.5866,0.7153,0.02,0.7485,0.7417
siamese_pointnet2,106-2,test,66904,0.0342,0.435,0.0,0.0782,0.02,0.0899,0.0871
siamese_pointnet2,106-3,test,70965,0.0268,0.6161,0.0295,0.0759,0.1,0.0773,0.0768
siamese_pointnet2,106-4,test,75155,0.029,0.6307,0.0797,0.0892,0.56,0.0804,0.1453
siamese_pointnet2,106-5,test,67337,0.049,0.7316,0.0729,0.1696,0.08,0.1755,0.212
siamese_pointnet2,111-2,test,102272,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,111-3,test,104394,0.0194,0.9975,0.1873,0.8277,0.96,0.8541,0.8462
siamese_pointnet2,111-4,test,103645,0.0208,0.8943,0.1478,0.3394,0.92,0.2452,0.3091
siamese_pointnet2,111-5,test,128537,0.0296,0.9892,0.3361,0.6866,0.92,0.7096,0.7327
siamese_pointnet2,115-3,val,122885,0.0042,0.9941,0.0859,0.5834,0.9,0.6869,0.6409
siamese_pointnet2,115-4,val,106744,0.0052,0.8985,0.0512,0.475,0.88,0.475,0.475
siamese_pointnet2,115-5,val,126310,0.0035,0.8301,0.0239,0.0548,0.8,0.0645,0.0604
siamese_pointnet2,119-2,test,79312,0.0011,0.8757,0.0077,0.0123,0.44,0.0147,0.1504
siamese_pointnet2,119-3,test,72622,0.0123,0.9911,0.1442,0.7255,0.86,0.787,0.787
siamese_pointnet2,119-4,test,77498,0.0304,0.8989,0.1885,0.2864,0.74,0.292,0.292
siamese_pointnet2,119-5,test,77915,0.0447,0.9067,0.2896,0.5691,0.78,0.3981,0.2555
siamese_pointnet2,120-2,test,135502,0.0068,0.9513,0.0989,0.2105,0.78,0.3303,0.3303
siamese_pointnet2,120-3,test,131968,0.0121,0.9918,0.2429,0.7125,0.98,0.6957,0.6446
siamese_pointnet2,120-4,test,151062,0.0204,0.9265,0.2751,0.3905,0.78,0.5655,0.5862
siamese_pointnet2,120-5,test,135797,0.0378,0.9539,0.4418,0.5039,0.7,0.5509,0.5488
siamese_pointnet2,123-2,test,62346,0.0001,0.7469,0.0,0.0008,0.06,0.0014,0.0014
siamese_pointnet2,123-3,test,64323,0.0048,0.9647,0.1742,0.2976,0.68,0.3177,0.3177
siamese_pointnet2,123-4,test,64036,0.0142,0.9773,0.2992,0.4826,0.7,0.5592,0.5531
siamese_pointnet2,123-5,test,62612,0.0158,0.9592,0.2595,0.3315,0.68,0.4335,0.4146
siamese_pointnet2,133-2,val,47343,0.0362,0.8909,0.2295,0.2617,0.36,0.2643,0.2643
siamese_pointnet2,133-3,val,49070,0.0061,0.5933,0.0014,0.0221,0.34,0.0255,0.0255
siamese_pointnet2,133-4,val,35336,0.0445,0.8924,0.2014,0.4072,0.78,0.4077,0.4077
siamese_pointnet2,133-5,val,48435,0.0831,0.9126,0.3287,0.5123,0.74,0.5123,0.5123
siamese_pointnet2,140-2,val,75761,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,140-3,val,90049,0.0011,0.9842,0.075,0.1271,0.44,0.1284,0.1284
siamese_pointnet2,147-2,test,95182,0.0141,0.9138,0.146,0.146,0.5,0.2276,0.2056
siamese_pointnet2,147-3,test,120938,0.015,0.9101,0.1338,0.4287,0.9,0.2001,0.3737
siamese_pointnet2,147-4,test,104749,0.0379,0.9071,0.2413,0.437,0.8,0.4762,0.6306
siamese_pointnet2,147-5,test,112934,0.018,0.8267,0.1128,0.2984,0.86,0.3934,0.4099
siamese_pointnet2,148-2,test,67936,0.0009,0.8805,0.0095,0.0111,0.48,0.0111,0.0111
siamese_pointnet2,148-3,test,82277,0.0007,0.9699,0.0076,0.0707,0.76,0.0707,0.0707
siamese_pointnet2,148-4,test,85006,0.0132,0.9401,0.1441,0.2057,0.66,0.2057,0.2057
siamese_pointnet2,148-5,test,77488,0.0194,0.9567,0.1688,0.5222,0.7,0.5222,0.5222
siamese_pointnet2,151-2,test,122036,0.0195,0.9675,0.4136,0.5385,0.6,0.6699,0.6699
siamese_pointnet2,151-3,test,128829,0.0007,0.9468,0.0134,0.0183,0.56,0.0195,0.0195
siamese_pointnet2,151-4,test,128972,0.0028,0.8164,0.0,0.024,0.18,0.1188,0.1188
siamese_pointnet2,151-5,test,136546,0.02,0.9386,0.2894,0.2973,0.52,0.3206,0.4357
siamese_pointnet2,152-2,test,101059,0.0056,0.9731,0.0167,0.2423,0.4,0.247,0.247
siamese_pointnet2,152-3,test,104503,0.0072,0.8946,0.0,0.0763,0.16,0.0763,0.0928
siamese_pointnet2,152-4,test,96662,0.0176,0.8926,0.1402,0.1584,0.16,0.189,0.1868
siamese_pointnet2,152-5,test,104491,0.0265,0.8792,0.0127,0.216,0.04,0.216,0.2059
siamese_pointnet2,153-4,test,75291,0.01,0.8554,0.0224,0.1045,0.28,0.1117,0.1298
siamese_pointnet2,153-5,test,90440,0.0345,0.9661,0.484,0.5586,0.7,0.5662,0.5281
siamese_pointnet2,154-2,val,121454,0.0017,0.897,0.0146,0.0272,0.76,0.1954,0.1954
siamese_pointnet2,154-3,val,149699,0.0015,0.9324,0.0222,0.0559,0.86,0.1269,0.1269
siamese_pointnet2,154-4,val,121666,0.0144,0.8666,0.1197,0.1243,0.46,0.336,0.336
siamese_pointnet2,154-5,val,155796,0.0107,0.9069,0.0574,0.1192,0.28,0.1322,0.1195
siamese_pointnet2,172-2,val,52535,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,172-3,val,64673,0.0181,0.927,0.1792,0.2922,0.8,0.5584,0.5151
siamese_pointnet2,172-4,val,66296,0.0614,0.9646,0.3906,0.5836,0.96,0.5933,0.5358
siamese_pointnet2,172-5,val,64764,0.0731,0.9774,0.5152,0.6953,0.92,0.7156,0.7827
siamese_pointnet2,175-2,test,64969,0.0062,0.8702,0.0439,0.0572,0.28,0.0573,0.0573
siamese_pointnet2,175-3,test,73915,0.0079,0.9992,0.1802,0.8279,0.98,0.8279,0.8279
siamese_pointnet2,175-4,test,75080,0.0441,0.977,0.3827,0.5898,0.96,0.5898,0.5898
siamese_pointnet2,177-2,test,31647,0.0018,0.8632,0.0066,0.0256,0.7,0.0256,0.0256
siamese_pointnet2,177-3,test,36990,0.0057,0.9168,0.0731,0.2028,0.74,0.2028,0.2028
siamese_pointnet2,177-4,test,38872,0.0042,0.6532,0.0,0.0178,0.04,0.0194,0.0194
siamese_pointnet2,177-5,test,43632,0.0079,0.8941,0.052,0.4684,0.96,0.4962,0.4962
siamese_pointnet2,178-2,val,94207,0.0147,0.9218,0.0655,0.1776,0.28,0.1877,0.2572
siamese_pointnet2,178-3,val,94285,0.0039,0.9956,0.0881,0.6718,0.94,0.7979,0.7979
siamese_pointnet2,178-4,val,90476,0.0235,0.9479,0.2993,0.3478,0.7,0.5432,0.5508
siamese_pointnet2,178-5,val,91002,0.0414,0.954,0.4433,0.5018,0.68,0.5239,0.4764
siamese_pointnet2,183-2,val,64107,0.0006,0.9901,0.0629,0.0731,0.56,0.2073,0.2073
siamese_pointnet2,183-3,val,81072,0.0142,0.9612,0.3638,0.4651,0.72,0.4675,0.4675
siamese_pointnet2,183-4,val,70055,0.0169,0.8902,0.0224,0.1576,0.22,0.1874,0.1874
siamese_pointnet2,183-5,val,79649,0.0223,0.9535,0.3103,0.3194,0.48,0.2314,0.2504
siamese_pointnet2,187-2,val,75403,0.0155,0.8724,0.0669,0.2003,0.12,0.2116,0.2122
siamese_pointnet2,187-3,val,76320,0.0061,0.9925,0.238,0.4383,0.84,0.4474,0.4474
siamese_pointnet2,187-4,val,64839,0.0212,0.9956,0.6655,0.7587,0.62,0.8179,0.8179
siamese_pointnet2,187-5,val,80597,0.0186,0.9628,0.3473,0.3742,0.4,0.2396,0.3219
siamese_pointnet2,189-2,val,102100,0.0081,0.9549,0.0567,0.1692,0.2,0.1974,0.1974
siamese_pointnet2,189-3,val,104340,0.005,0.9933,0.269,0.4704,0.68,0.4734,0.4734
siamese_pointnet2,189-4,val,98152,0.0077,0.9923,0.3186,0.5855,0.82,0.5306,0.3609
siamese_pointnet2,189-5,val,113111,0.0176,0.9764,0.5436,0.5542,0.56,0.5838,0.5903
siamese_pointnet2,190-2,test,228897,0.0059,0.9494,0.1232,0.1367,0.56,0.6256,0.6081
siamese_pointnet2,190-3,test,219197,0.0141,0.9928,0.4774,0.7598,0.86,0.8492,0.8463
siamese_pointnet2,190-4,test,258749,0.2217,0.8601,0.5877,0.6801,0.2,0.8751,0.5886
siamese_pointnet2,190-5,test,230686,0.2322,0.8213,0.6176,0.6663,0.16,0.7981,0.4498
siamese_pointnet2,191-2,test,95762,0.003,0.9959,0.0,0.7345,0.16,0.758,0.758
siamese_pointnet2,191-3,test,108006,0.001,0.7737,0.0,0.0035,0.02,0.0045,0.0045
siamese_pointnet2,191-4,test,103067,0.011,0.9988,0.815,0.8344,0.66,0.8344,0.8344
siamese_pointnet2,191-5,test,119644,0.005,0.9725,0.1363,0.2069,0.78,0.2077,0.2077
siamese_pointnet2,196-2,test,70429,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,196-3,test,82246,0.0269,0.9858,0.48,0.6029,0.72,0.6236,0.6236
siamese_pointnet2,196-4,test,79011,0.0388,0.9883,0.3533,0.704,0.88,0.704,0.704
siamese_pointnet2,196-5,test,103000,0.0617,0.9768,0.5479,0.7195,0.8,0.7427,0.7427
siamese_pointnet2,197-2,test,103902,0.0003,0.955,0.0054,0.0097,0.66,0.0735,0.0735
siamese_pointnet2,197-3,test,98673,0.0027,0.9904,0.0739,0.2668,0.76,0.4725,0.4725
siamese_pointnet2,197-4,test,96762,0.0104,0.957,0.1885,0.3622,0.78,0.3743,0.3743
siamese_pointnet2,197-5,test,122383,0.0139,0.9673,0.274,0.3406,0.72,0.5533,0.5533
siamese_pointnet2,198-3,test,145104,0.0729,0.9661,0.5573,0.6731,0.8,0.8786,0.8822
siamese_pointnet2,198-4,test,164533,0.1131,0.8914,0.4439,0.5071,0.28,0.7085,0.6069
siamese_pointnet2,198-5,test,158470,0.1394,0.9669,0.7902,0.7966,0.42,0.8497,0.854
siamese_pointnet2,202-2,val,110347,0.0129,0.7842,0.0394,0.0756,0.38,0.1353,0.1353
siamese_pointnet2,202-3,val,104028,0.0021,0.8333,0.0118,0.0154,0.4,0.0171,0.0171
siamese_pointnet2,202-4,val,109424,0.0684,0.9122,0.3245,0.4721,0.86,0.4955,0.4955
siamese_pointnet2,202-5,val,94786,0.0817,0.9493,0.5479,0.6065,0.7,0.607,0.5848
siamese_pointnet2,211-2,val,93055,0.0024,0.8059,0.011,0.0442,0.72,0.0753,0.0842
siamese_pointnet2,211-3,val,85773,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,211-4,val,87637,0.0033,0.9995,0.0484,0.7903,0.92,0.7903,0.7903
siamese_pointnet2,211-5,val,94849,0.0056,0.9032,0.0413,0.2299,0.9,0.0637,0.2576
siamese_pointnet2,212-2,test,105349,0.0116,0.874,0.1173,0.2217,0.78,0.2307,0.1846
siamese_pointnet2,212-3,test,95165,0.0008,0.9761,0.0316,0.0502,0.68,0.0502,0.0502
siamese_pointnet2,212-4,test,106672,0.0024,0.9331,0.0387,0.0395,0.52,0.079,0.079
siamese_pointnet2,212-5,test,107577,0.0137,0.9412,0.197,0.4116,0.76,0.3692,0.2776
siamese_pointnet2,216-2,test,64436,0.0025,0.8924,0.0,0.0353,0.04,0.0364,0.0364
siamese_pointnet2,216-3,test,61493,0.0021,0.944,0.0,0.0444,0.12,0.0444,0.0444
siamese_pointnet2,216-4,test,65652,0.0011,0.8966,0.0,0.0178,0.04,0.0178,0.0178
siamese_pointnet2,216-5,test,66564,0.0033,0.9417,0.3433,0.4221,0.44,0.4221,0.4221
siamese_pointnet2,218-2,test,102100,0.0013,0.9099,0.0,0.0173,0.12,0.066,0.066
siamese_pointnet2,218-3,test,104340,0.0045,0.9968,0.1343,0.5859,0.86,0.5859,0.5859
siamese_pointnet2,218-4,test,98152,0.0084,0.9851,0.1299,0.467,0.88,0.4296,0.3376
siamese_pointnet2,218-5,test,113112,0.0137,0.994,0.6028,0.753,0.74,0.7609,0.7578
siamese_pointnet2,220-2,val,68027,0.0,nan,0.0,0.0,0.5,0.0,nan
siamese_pointnet2,220-3,val,63876,0.0134,0.9701,0.1354,0.4283,0.94,0.4283,0.4283
siamese_pointnet2,220-4,val,79747,0.0619,0.9727,0.4036,0.6657,0.92,0.6673,0.6513
siamese_pointnet2,220-5,val,80416,0.0768,0.9465,0.4658,0.5813,0.94,0.6338,0.6778
siamese_pointnet2,221-2,test,111301,0.0005,0.9826,0.0132,0.0348,0.68,0.0602,0.0602
siamese_pointnet2,221-3,test,125072,0.0019,0.9831,0.0488,0.2847,0.82,0.2943,0.2943
siamese_pointnet2,221-4,test,114725,0.0066,0.9904,0.1342,0.6235,0.9,0.6988,0.6988
siamese_pointnet2,221-5,test,132061,0.009,0.981,0.2636,0.709,0.84,0.214,0.4886
siamese_pointnet2,222-2,test,126364,0.0012,0.8976,0.0025,0.0181,0.32,0.0211,0.0211
siamese_pointnet2,222-3,test,123892,0.0015,0.9959,0.0362,0.5741,0.88,0.6442,0.6442
siamese_pointnet2,222-4,test,140447,0.0075,0.9984,0.1121,0.7131,0.96,0.8344,0.8193
siamese_pointnet2,222-5,test,143030,0.0059,0.996,0.0751,0.7663,0.98,0.6693,0.5786
siamese_pointnet2,227-2,test,44010,0.0207,0.1705,0.0,0.0,0.5,0.0,0.0
siamese_pointnet2,227-3,test,59217,0.0659,0.9528,0.3517,0.5615,0.76,0.7433,0.7566
siamese_pointnet2,227-4,test,73766,0.0917,0.9119,0.5017,0.5141,0.54,0.551,0.7385
siamese_pointnet2,227-5,test,75512,0.1399,0.8593,0.5294,0.5357,0.56,0.55,0.7015
siamese_pointnet2,POOLED,val,7763592,0.0154,0.9255,0.178,0.3986,0.86,,
siamese_pointnet2,POOLED,test,19245754,0.0285,0.8959,0.2941,0.4104,0.78,,
siamgcn,009-2,test,61508,0.0,nan,0.0,0.0,0.5,0.0,nan
siamgcn,009-3,test,56768,0.0042,0.9881,0.0652,0.3523,0.8,0.5683,0.5683
siamgcn,009-4,test,75073,0.004,0.7572,0.01,0.0244,0.38,0.05,0.045
siamgcn,009-5,test,59424,0.0088,0.9132,0.0747,0.4698,0.88,0.1616,0.2883
siamgcn,014-2,val,49660,0.0,nan,0.0,0.0,0.5,0.0,nan
siamgcn,014-3,val,57898,0.0026,0.9756,0.0194,0.2778,0.84,0.2778,0.2778
siamgcn,014-4,val,58069,0.0082,0.817,0.0956,0.3733,0.82,0.3733,0.3733
siamgcn,014-5,val,56295,0.011,0.8617,0.0775,0.38,0.9,0.1442,0.25
siamgcn,017-2,test,101198,0.0,nan,0.0,0.0,0.5,0.0,nan
siamgcn,017-3,test,99171,0.027,0.7141,0.0211,0.1065,0.14,0.2652,0.1895
siamgcn,017-4,test,89170,0.0018,0.7638,0.0008,0.0097,0.22,0.0507,0.0507
siamgcn,017-5,test,98218,0.0036,0.7917,0.0,0.0213,0.18,0.0271,0.0289
siamgcn,018-2,test,198639,0.0,nan,0.0,0.0,0.5,0.0,nan
siamgcn,018-3,test,202230,0.021,0.5551,0.0074,0.0639,0.04,0.1553,0.1661
siamgcn,018-4,test,242224,0.0017,0.73,0.0,0.009,0.02,0.0302,0.0302
siamgcn,018-5,test,237330,0.0074,0.5203,0.0,0.0311,0.06,0.0855,0.0468
siamgcn,019-2,test,64889,0.0053,0.7705,0.0,0.0309,0.24,0.0393,0.0393
siamgcn,019-3,test,63654,0.0168,0.681,0.0,0.0703,0.2,0.4182,0.4182
siamgcn,019-4,test,63780,0.0034,0.5502,0.0,0.0103,0.1,0.0119,0.0099
siamgcn,019-5,test,72113,0.0163,0.7651,0.0,0.0852,0.2,0.0519,0.0906
siamgcn,020-2,val,135408,0.004,0.8642,0.0209,0.0387,0.82,0.0555,0.0573
siamgcn,020-3,val,132798,0.0356,0.7722,0.1146,0.4281,0.96,0.5128,0.4099
siamgcn,020-4,val,150140,0.0585,0.8399,0.1914,0.367,0.86,0.3645,0.3518
siamgcn,023-2,test,208496,0.0051,0.9551,0.0674,0.1195,0.78,0.1497,0.2342
siamgcn,023-3,test,238419,0.0172,0.9416,0.1869,0.2859,0.8,0.3481,0.3359
siamgcn,023-4,test,247383,0.0188,0.9848,0.2316,0.5834,0.84,0.7595,0.7595
siamgcn,023-5,test,266160,0.0445,0.9165,0.422,0.4841,0.62,0.504,0.3881
siamgcn,026-2,test,85235,0.0,nan,0.0,0.0,0.5,0.0,nan
siamgcn,026-3,test,72327,0.0021,0.9807,0.0192,0.1194,0.7,0.2642,0.2642
siamgcn,026-4,test,77469,0.0065,0.6794,0.0196,0.0375,0.58,0.0446,0.0268
siamgcn,026-5,test,82172,0.0038,0.8317,0.0294,0.0369,0.48,0.085,0.085
